year,Gross Domestic Product,Vehicle Miles Traveled,Population,Energy Consumption,CO2 Emissions,Aggregate Emissions (Six Common Pollutants)
1970,0,0,0,0,0,0
1980,0.365143069,0.375675676,0.107317073,0.150780801,0.090804067,-0.172751636
1990,0.891536744,0.931531532,0.214634146,0.245385374,0.183286613,-0.329542334
1995,1.146992221,1.182681081,0.292682927,0.341295867,0.256168666,-0.397259417
1996,1.227987531,1.236217117,0.307317073,0.385659011,0.299686203,-0.42904883
1997,1.327070957,1.306642342,0.32195122,0.394072732,0.317449381,-0.429272617
1998,1.431356491,1.365191892,0.341463415,0.40012409,0.328533516,-0.438643607
1999,1.546924602,1.413927027,0.356097561,0.424195539,0.346931597,-0.457523166
2000,1.652048508,1.474708108,0.375609756,0.456061131,0.385697531,-0.474706603
2001,1.67852499,1.518568468,0.390243902,0.417035629,0.363182875,-0.488975292
2002,1.725176733,1.572530631,0.404878049,0.438792137,0.373017886,-0.475774002
2003,1.803149783,1.603803604,0.414634146,0.443114508,0.38428626,-0.491896705
2004,1.909638391,1.670981081,0.429268293,0.475177924,0.410684868,-0.508364879
2005,2.011860209,1.69318018,0.443902439,0.476573351,0.416486233,-0.520776481
2006,2.097847983,1.71541982,0.453658537,0.466204811,0.397963171,-0.543073635
2007,2.155968923,1.729569369,0.468292683,0.48841266,0.415870661,-0.56537079
2008,2.151658506,1.678836937,0.482926829,0.456784516,0.369744993,-0.601817485
2009,2.071708587,1.663751351,0.497560976,0.385997184,0.269304045,-0.628978576
2010,2.150460024,1.673212613,0.507317073,0.438846915,0.317030577,-0.644825809
2011,2.199318477,1.65801982,0.52195122,0.429141469,0.287565798,-0.655645797
2012,2.271288613,1.674387387,0.531707317,0.392723429,0.241168477,-0.674376134
2013,2.331548401,1.692144144,0.541463415,0.433097128,0.276087885,-0.68545914
2014,2.41323707,1.725816216,0.556097561,0.450245379,0.287455248,-0.695921496
2015,2.511569374,1.788624324,0.565853659,0.437018441,0.252995766,-0.710264335
2016,2.566603222,1.859459459,0.575609756,0.436440034,0.226123488,-0.723391179
2017,2.645675183,1.894594595,0.590243902,0.441804122,0.217825445,-0.731790357
2018,2.749840344,1.905405405,0.595121951,0.492541894,NA,-0.739027097
