"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","city_name","location_setting","local_site_name","natts","toxic_name_alias","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"01-073-5503","Naphthalene (total tsp & vapor)","33.5684","-86.8029","BIRMINGHAM","","COMMERCIAL","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Birmingham","Urban And Center City","Riggins School","No","Naphthalene","","","","","0.910803737377578","","","",""
"02-020-0018","Naphthalene (total tsp & vapor)","61.205861","-149.824602","ANCHORAGE","","RESIDENTIAL","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Anchorage","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","Naphthalene","","0.0912524753179122","","","","0.0639238529712063","","",""
"13-009-0001","Naphthalene (total tsp & vapor)","33.153413","-83.23569","Milledgeville","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Georgia","Milledgeville","Rural","","No","Naphthalene","","","","","","","","",""
"13-021-0012","Naphthalene (total tsp & vapor)","32.805361","-83.543515","Macon","","INDUSTRIAL","","Macon SE","meanRos_ug_m3","No","Undetermined","Georgia","Macon","Rural","Macon-Forestry","No","Naphthalene","","","","","0.0286137814303389","0.015524615220068","0.0278117959518725","",""
"13-051-0021","Naphthalene (total tsp & vapor)","32.069183","-81.048747","Savannah","","COMMERCIAL","","Savannah-E. President Street","meanRos_ug_m3","No","Undetermined","Georgia","Savannah","Suburban","Savannah-E. President","No","Naphthalene","","","","","0.0216158985310811","0.0189949569688655","","0.019083650603434",""
"13-069-0002","Naphthalene (total tsp & vapor)","31.513127","-82.750011","Douglas","","AGRICULTURAL","","General Coffee","meanRos_ug_m3","No","No Trend","Georgia","Not in a city","Rural","General Coffee","No","Naphthalene","","","0.0077390907043885","","0.00926172855203098","0.0073302051077471","0.031343827665578","0.0147921548586654",""
"13-085-0001","Naphthalene (total tsp & vapor)","34.376307","-84.059556","DAWSONVILLE","","UNKNOWN","","Dawsonville, Georgia Forestry Commission","meanRos_ug_m3","No","Undetermined","Georgia","Not in a city","Rural","Dawsonville","No","Naphthalene","","","","0.00977569801154473","0.0117883554880347","0.0110153097282071","0.0104314793215546","",""
"13-115-0004","Naphthalene (total tsp & vapor)","34.263312","-85.178723","Rome","","COMMERCIAL","","","meanRos_ug_m3","No","Undetermined","Georgia","Rome","Urban And Center City","","No","Naphthalene","","","","","","","","",""
"13-121-0020","Naphthalene (total tsp & vapor)","33.741253","-84.5527","Utoy Creek","","INDUSTRIAL","","Utoy Creek","meanRos_ug_m3","No","Undetermined","Georgia","Not in a city","Suburban","Utoy Creek","No","Naphthalene","","","","","","","","",""
"13-127-3001","Naphthalene (total tsp & vapor)","31.185187","-81.485166","Brunswick","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Georgia","Brunswick","Suburban","","No","Naphthalene","","","","","","","","",""
"13-139-0003","Naphthalene (total tsp & vapor)","34.29933","-83.81341","GAINESVILLE","","RESIDENTIAL","","MONITOR LOCATED ON TOP OF SCHOOL","meanRos_ug_m3","No","Undetermined","Georgia","Gainesville","Suburban","Gainesville","No","Naphthalene","","","","","","","","",""
"13-153-0001","Naphthalene (total tsp & vapor)","32.605556","-83.598056","WARNER ROBINS","","COMMERCIAL","","LOCATED NEAR ROBBINS AIR FORCE BASE","meanRos_ug_m3","No","Undetermined","Georgia","Warner Robins","Suburban","Warner Robins","No","Naphthalene","","","","","","","","",""
"13-185-0003","Naphthalene (total tsp & vapor)","30.848056","-83.294444","VALDOSTA","","COMMERCIAL","","S.L. MASON ELEMENTARY SCHOOL","meanRos_ug_m3","No","Undetermined","Georgia","Valdosta","Suburban","Valdosta","No","Naphthalene","","","","","","","","",""
"13-215-5000","Naphthalene (total tsp & vapor)","32.503272","-84.942035","Columbus","","COMMERCIAL","","","meanRos_ug_m3","No","Undetermined","Georgia","Columbus (Remainder)","Suburban","","No","Naphthalene","","","","","","","","",""
"13-223-0003","Naphthalene (total tsp & vapor)","33.9285","-85.04534","Yorkville","","AGRICULTURAL","","PAMS: Yorkville (Near Rockmart)","meanRos_ug_m3","No","No Trend","Georgia","Not in a city","Rural","Yorkville, King Farm","No","Naphthalene","","","","0.0117922014006126","0.0123162787466508","0.0149716441581397","0.0110656579695515","0.0086820789251622","0.017864328163684"
"13-245-0092","Naphthalene (total tsp & vapor)","33.432353","-81.991372","Augusta","","INDUSTRIAL","","","meanRos_ug_m3","No","Undetermined","Georgia","Augusta-Richmond County (Remainder)","Suburban","","No","Naphthalene","","","","","","","","",""
"26-033-0901","Naphthalene (total tsp & vapor)","46.493633","-84.364207","SAULT STE MARIE","","RESIDENTIAL","","UATMP: ITCMI","meanRos_ug_m3","No","Undetermined","Michigan","Sault Ste. Marie","Rural","NORTH OF EASTERDAY AVENUE","No","Naphthalene","","","","","","","","",""
"34-003-0007","Naphthalene (total tsp & vapor)","40.817218","-74.043758","CARLSTADT","","INDUSTRIAL","","","meanRos_ug_m3","No","Undetermined","New Jersey","Carlstadt","Suburban","","No","Naphthalene","0.000205054379313586","","","","","","","",""
"34-003-0008","Naphthalene (total tsp & vapor)","40.816809","-74.043673","CARLSTADT","","INDUSTRIAL","","","meanRos_ug_m3","No","Undetermined","New Jersey","Carlstadt","Urban And Center City","","No","Naphthalene","0.000147685956279197","","","","","","","",""
"34-003-0009","Naphthalene (total tsp & vapor)","40.833111","-74.043459","CARLSTADT","","INDUSTRIAL","","","meanRos_ug_m3","No","Undetermined","New Jersey","Carlstadt","Urban And Center City","","No","Naphthalene","0.000617769792158232","","","","","","","",""
"36-029-1013","Naphthalene (total tsp & vapor)","42.98844","-78.91859","Tonawanda","","INDUSTRIAL","","UATMP: TONY; GRAND ISLE BOULDVARD","meanRos_ug_m3","No","Undetermined","New York","Tonawanda","Urban And Center City","GRAND ISLE BOULDVARD","No","Naphthalene","","0.642078894073226","","","","","","",""
"39-145-0020","Naphthalene (total tsp & vapor)","38.609338","-82.822512","FRANKLIN FURNACE","","FOREST","","BACK ROAD","meanRos_ug_m3","No","No Trend","Ohio","Franklin Furnace","Rural","BACK ROAD","No","Naphthalene","0.0254784335768478","0.0186726363595921","0.0279453340967176","0.0222908862261121","0.0192803524093711","","","",""
"39-145-0021","Naphthalene (total tsp & vapor)","38.600611","-82.829782","FRANKLIN FURNACE","","INDUSTRIAL","","","meanRos_ug_m3","No","Decreasing","Ohio","Franklin Furnace","Rural","","No","Naphthalene","0.0866237907079519","0.0477720631543472","0.0396999952631573","0.0385239836345458","0.0359636196097698","","","",""
"39-145-0022","Naphthalene (total tsp & vapor)","38.588034","-82.834973","FRANKLIN FURNACE","","INDUSTRIAL","","","meanRos_ug_m3","No","No Trend","Ohio","Franklin Furnace","Rural","","No","Naphthalene","0.0243901557469198","0.0248393018159976","0.0217624837914161","0.0259711592246506","0.0217081389463125","","","",""
"41-029-2129","Naphthalene (total tsp & vapor)","42.33155","-122.880266","Medford","","RESIDENTIAL","","","meanRos_ug_m3","No","Undetermined","Oregon","Medford","Urban And Center City","","No","Naphthalene","","","","","0.0686527982103004","","","",""
"41-039-0059","Naphthalene (total tsp & vapor)","44.067224","-123.141352","Eugene","","RESIDENTIAL","","Eugene - Hwy 99 (E99)","meanRos_ug_m3","No","Undetermined","Oregon","Eugene","Urban And Center City","Eugene - Hwy 99 (E99)","No","Naphthalene","","","","","","","","0.343321304706173",""
"41-039-0060","Naphthalene (total tsp & vapor)","44.026312","-123.083737","Eugene","","RESIDENTIAL","","Eugene - AMAZON PARK (EAP)","meanRos_ug_m3","No","Undetermined","Oregon","Eugene","Urban And Center City","Eugene - AMAZON PARK (EAP)","No","Naphthalene","","","","","","","","0.046583384616385",""
"41-051-2001","Naphthalene (total tsp & vapor)","45.577175","-122.71775","Portland","","RESIDENTIAL","","PNS","meanRos_ug_m3","No","Undetermined","Oregon","Portland","Urban And Center City","PNS","No","Naphthalene","","","","","","","","0.0295180432452505",""
"41-067-0004","Naphthalene (total tsp & vapor)","45.528501","-122.972398","Hillsboro","","RESIDENTIAL","","Hillsboro - Hare Field","meanRos_ug_m3","No","Undetermined","Oregon","Hillsboro","Suburban","Hillsboro - Hare Field","No","Naphthalene","","","","","","0.0541170337772097","0.0490210612281997","",""
"48-061-0006","Naphthalene (total tsp & vapor)","25.892518","-97.49383","Brownsville","","COMMERCIAL","","UATMP: BRTX","meanRos_ug_m3","Yes","No Trend","Texas","Brownsville","Urban And Center City","Brownsville","No","Naphthalene","0.0386935634391106","0.0371942876595512","0.041907961783527","0.0464340576838337","0.0359642327037326","0.0372217645027418","0.0402337666235429","0.0514144027694872","0.0471404234689834"
"48-141-0053","Naphthalene (total tsp & vapor)","31.758532","-106.501045","El Paso","","COMMERCIAL","","El Paso Sun Metro","meanRos_ug_m3","No","No Trend","Texas","El Paso","Urban And Center City","El Paso Sun Metro","No","Naphthalene","0.179892742608037","0.197766305197617","0.285786479616563","0.215961725408363","0.142213338194294","","","",""
"48-141-0057","Naphthalene (total tsp & vapor)","31.6675","-106.288","Socorro","","RESIDENTIAL","","SOCORRO","meanRos_ug_m3","No","Undetermined","Texas","El Paso","Suburban","Socorro Hueco","No","Naphthalene","","","","","","0.0373388611612279","0.0299896936746941","0.0375208753492982","0.0393428589736067"
"48-215-0042","Naphthalene (total tsp & vapor)","26.309858","-98.183101","Edinburg","","RESIDENTIAL","","Edinburg","meanRos_ug_m3","No","Undetermined","Texas","Edinburg","Urban And Center City","Edinburg","No","Naphthalene","0.03747443056335","","","","","","","",""
"48-215-0043","Naphthalene (total tsp & vapor)","26.22621","-98.291069","Mission","","RESIDENTIAL","","Mission","meanRos_ug_m3","Yes","Decreasing","Texas","Mission","Suburban","Mission","No","Naphthalene","0.0412954580152876","0.0834170390973027","0.0381277133193517","0.0387340383631673","0.0328554562573913","0.0301948432781384","0.0274002465155489","0.0341957443287339","0.0282298859793192"
"48-215-1048","Naphthalene (total tsp & vapor)","26.131081","-97.937265","MERCEDES","","COMMERCIAL","","Mercedes","meanRos_ug_m3","No","Undetermined","Texas","Mercedes","Urban And Center City","Mercedes","No","Naphthalene","","0.0386226563895503","0.0401741577460228","0.0322918085182499","0.0337534005281797","","","",""
"48-479-0016","Naphthalene (total tsp & vapor)","27.517449","-99.515219","Laredo","","COMMERCIAL","","Laredo Border","meanRos_ug_m3","No","Undetermined","Texas","Laredo","Suburban","Laredo Vidaurri","No","Naphthalene","0.076555055212092","0.0545160728190164","0.0789169380304356","","","","","",""
"53-033-0057","Naphthalene (total tsp & vapor)","47.55975","-122.338265","SEATTLE","","INDUSTRIAL","","UATMP: CEWA","meanRos_ug_m3","No","Undetermined","Washington","Seattle","Suburban","SEATTLE - DUWAMISH","No","Naphthalene","","0.127727767257714","","","","","","",""
"53-053-0029","Naphthalene (total tsp & vapor)","47.1864","-122.4517","TACOMA","","COMMERCIAL","","UATMP: ESWA; TACOMA - L STREET","meanRos_ug_m3","No","Undetermined","Washington","Tacoma","Suburban","TACOMA - L STREET","No","Naphthalene","","0.12862562958939","","","","","","",""
"53-053-0031","Naphthalene (total tsp & vapor)","47.2656","-122.3858","TACOMA","","INDUSTRIAL","","UATMP: EQWA; TACOMA - ALEXANDER AVE","meanRos_ug_m3","No","Undetermined","Washington","Tacoma","Suburban","TACOMA - ALEXANDER AVE","No","Naphthalene","","0.123297827095206","","","","","","",""
"04-013-9997","Naphthalene (total tsp & vapor)","33.503833","-112.095767","Phoenix","Phoenix, AZ","RESIDENTIAL","Urban","UATMP: PXSS; NATTS: Phoenix, AZ; IMPROVE: PHOE1","meanRos_ug_m3","Yes","No Trend","Arizona","Phoenix","Urban And Center City","JLG SUPERSITE","Yes","Naphthalene","0.0821536728135029","0.117149329652979","0.0865656662213529","0.0875194948469005","0.0963508008244173","0.0921298863031817","0.0765694256117497","0.072941653887999",""
"06-037-1103","Naphthalene (total tsp & vapor)","34.06659","-118.22688","Los Angeles","Los Angeles, CA","RESIDENTIAL","Urban","UATMP: CELA; NATTS: Los Angeles, CA; MATES: Central Los Angeles","meanRos_ug_m3","Yes","Decreasing","California","Los Angeles","Urban And Center City","Los Angeles-North Main Street","Yes","Naphthalene","0.122344301887213","0.169643745959643","0.145796743499609","0.134208700687519","0.181829848348559","0.113383790329831","0.0889697907227793","0.0772730471585652","0.0792192928752056"
