year,stationary,industrial,highway,nonroad
1990,25,4109,155,31
1991,25,4155,169,35
1992,25,4201,182,35
1993,26,4261,195,36
1994,26,4318,209,36
1995,26,4374,222,37
1996,47,4410,236,34
1997,46,4472,265,34
1998,47,4602,256,35
1999,50,4537,267,3
2000,50,4579,275,3
2001,50,3358,278,3
2002,72,4001,176,2
2003,73,4026,173,2
2004,73,4015,170,2
2005,73,4328,166,3
2006,95,4170,163,3
2007,101,4398,158,3
2008,103,4272,150,2
2009,105,4054,146,2
2010,105,4164,140,2
2011,105,4226,137,2
2012,103,4214,131,2
2013,114,4160,127,2
2014,115,4046,122,2
2015,116,4165,117,2
2016,91,4242,109,2
2017,89,4314,108,2
2018,92,4776,104,2
2019,92,4891,103,2
2020,106,4965,90,2
2021,106,4497,186,2
2022,106,4506,187,2
2023,106,4504,183,2
2024,106,4504,179,3
