"site_id","parameter_desc","latitude","longitude","city_name","location","land_use_type","setting","site_name","stat","used_in_nat_agg","trend","state_name","location_setting","local_site_name","natts","toxic_name_alias","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"01-073-5503","Benzo(a)pyrene (total tsp & vapor)","33.5684013366699","-86.8029022216797","Birmingham","","Commercial","","Riggins School","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Riggins School","No","BenzoPyrene","","","","","0.00265442638786707","","","","","","","","","",""
"01-073-5505","Benzo(a)pyrene (total tsp & vapor)","33.5566329956055","-86.8054656982422","Birmingham","","Residential","","Hudson K-8","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Hudson K-8","No","BenzoPyrene","","","","","0.000690402184599797","","","","","","","","","",""
"01-073-6004","Benzo(a)pyrene (total tsp & vapor)","33.5652770996094","-86.79638671875","Birmingham","","Residential","","UATMP: SIAL; Sloss Industries","meanRos_ug_m3","No","Undetermined","Alabama","Urban And Center City","Sloss Shuttlesworth","No","BenzoPyrene","","","","","0.00130391991483624","","","","","","","","","",""
"02-020-0018","Benzo(a)pyrene (total tsp & vapor)","61.2058601379395","-149.824600219727","Anchorage","","Residential","","UATMP: ANAK","meanRos_ug_m3","No","Undetermined","Alaska","Suburban","GARDEN/TRINITY CHRISTIAN CHURCH","No","BenzoPyrene","","0.000150193520218371","","","","0.000160616803794918","","","","","","","","",""
"04-013-9997","Benzo(a)pyrene (total tsp & vapor)","33.503833770752","-112.095764160156","Phoenix","Phoenix, AZ","Residential","Urban ","UATMP: PXSS; NATTS: Phoenix, AZ; IMPROVE: PHOE1","meanRos_ug_m3","Yes","No Trend","Arizona","Urban And Center City","JLG SUPERSITE","Yes","BenzoPyrene","0.000102771222361113","0.000182521746041608","7.30204420019689e-05","0.00010686440630824","0.000164479062246957","0.000109109541146063","9.51364661355488e-05","0.000117538997773558","0.000118147123678281","6.24385543594812e-05","0.000131830404456986","7.44218283338682e-05","8.21387438176879e-05","8.54740244410463e-05","0.000110002485503958"
"06-037-1103","Benzo(a)pyrene (total tsp & vapor)","34.0665893554688","-118.22688293457","Los Angeles","Los Angeles, CA","Residential","Urban ","UATMP: CELA; NATTS: Los Angeles, CA; MATES: Central Los Angeles","meanRos_ug_m3","Yes","No Trend","California","Urban And Center City","Los Angeles-North Main Street","Yes","BenzoPyrene","6.77246727492354e-05","9.38124913149861e-05","7.39176893245641e-05","6.09131673821493e-05","4.68322501228866e-05","6.22988042669219e-05","6.76653180627661e-05","6.94027068195314e-05","3.87116877930591e-05","3.92155760123045e-05","5.973348244576e-05","3.50134629244906e-05","4.16211224632778e-05","3.48947267838863e-05","8.40103152611954e-05"
"06-065-8001","Benzo(a)pyrene (total tsp & vapor)","33.9995803833008","-117.416007995605","Rubidoux","Rubidoux, CA","Residential","Urban ","UATMP: RUCA; NATTS: Rubidoux, CA; MATES: Rubidoux","meanRos_ug_m3","Yes","No Trend","California","Suburban","Rubidoux","Yes","BenzoPyrene","4.98276069935321e-05","8.21279565874108e-05","4.53635597262007e-05","3.57684550955749e-05","4.44054681262566e-05","7.16680310273468e-05","7.00364489083885e-05","4.14979190629605e-05","6.00045101104771e-05","3.95352939167525e-05","6.10044827857153e-05","3.72038357991811e-05","7.73259306713712e-05","4.77453438684057e-05","6.74321610668819e-05"
"06-085-0005","Benzo(a)pyrene (total tsp & vapor)","37.3484954833984","-121.894897460938","San Jose","San Jose, CA","Commercial","Urban ","UATMP: SJCA; NATTS: San Jose, CA","meanRos_ug_m3","No","No Trend","California","Urban And Center City","San Jose - Jackson","Yes - Former","BenzoPyrene","4.70126399660106e-05","7.12429753432201e-05","","8.12120281969183e-05","5.8804590034132e-05","8.26116792138956e-05","0.00011656802834587","5.54888171079715e-05","4.41256819334513e-05","3.83742718470089e-05","","","","",""
"08-077-0018","Benzo(a)pyrene (total tsp & vapor)","39.0642890930176","-108.561546325684","Grand Junction","Grand Junction, CO","Commercial","Urban ","UATMP: GPCO; NATTS: Grand Junction, CO","meanRos_ug_m3","Yes","No Trend","Colorado","Urban And Center City","GRAND JUNCTION - PITKIN","Yes","BenzoPyrene","0.000145298964279282","0.000313374173844179","0.000175159526818433","0.000186190588546353","0.000154678803315066","0.000224713577962858","0.000178324272365526","0.000210614910574543","0.000152455205128807","0.000117418262856647","0.000186881779029016","0.000149574831592266","0.000150899481116728","0.000144430013862341","0.00012527214334469"
"11-001-0043","Benzo(a)pyrene (total tsp & vapor)","38.9218482971191","-77.0131759643555","Washington","Washington, DC","Commercial","Urban ","UATMP: WADC; NATTS: Washington, D.C.","meanRos_ug_m3","Yes","Decreasing","District of Columbia","Urban And Center City","MCMILLAN  NCore-PAMS","Yes","BenzoPyrene","","7.54249140966498e-05","6.85438705785256e-05","6.55341841628418e-05","6.61386985101254e-05","5.94945090474913e-05","8.33892556885137e-05","5.23427481452074e-05","7.80311252027709e-05","4.54243619225798e-05","4.86241306918663e-05","4.85678153952102e-05","3.03898311523886e-05","4.72091840679223e-05","6.45419783254355e-05"
